Title,Rating,Popular,SalesPerWeek,Price,ReqSpec,Overall
Hello Kitty: Birthday Adventures,Average,Yes,39,23,Medium,Good
Syndicate,High,Yes,20,39,Low,Good
Dance Dance Revolution: Disney Grooves,Low,No,19,29,Medium,Bad
Pure Futbol,High,Yes,31,20,High,Good
Harvest Moon: A Wonderful Life Special Edition,Average,No,15,19,High,Bad
Sports Illustrated for Kids: Football,Low,Yes,25,32,Low,Bad
The Last Airbender,Average,Yes,10,28,Medium,Bad
Happy Cooking,High,No,31,11,High,Good
.hack//Quarantine Part 4: The Final Chapter,Low,Yes,45,22,Medium,Bad
Close Combat: First to Fight,High,Yes,41,11,Low,Good
MotoGP 14,Average,Yes,49,30,High,Good
Indiana Jones and the Emperor's Tomb,High,Yes,17,15,High,Good
NBA Live 08,High,No,28,34,High,Good
Buffy the Vampire Slayer: Chaos Bleeds,High,No,26,28,Low,Good
Half-Minute Hero,Low,No,19,27,Medium,Bad
Rock Band Track Pack Volume 2,High,Yes,15,24,Medium,Good
Reel Fishing II,High,Yes,36,26,Low,Good
Ringling Bros. and Barnum & Bailey Circus,High,Yes,50,24,Medium,Good
The Walking Dead: Season One,High,Yes,10,40,Medium,Good
Ty the Tasmanian Tiger,High,No,49,36,Low,Good
Dead or Alive,High,Yes,12,33,Medium,Good
Driving Emotion Type-S,Low,No,48,17,High,Bad
Siren,Average,Yes,29,13,Medium,Good
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",High,No,11,21,Medium,Bad
NARC,Average,No,43,35,Low,Good
Naruto Shippuden: Dragon Blade Chronicles,Average,No,44,17,High,Good
Dynasty Warriors 8: Empires,High,Yes,22,10,High,Good
Super Robot Taisen J,High,Yes,13,21,Low,Good
Evolve,Average,Yes,30,38,High,Good
Nep League DS,Low,Yes,40,32,High,Bad
Ar tonelico 2: Melody of Metafalica,Low,Yes,50,24,High,Bad
de Blob 2,High,No,33,39,Medium,Good
Lips: Party Classics,High,No,21,16,High,Good
Casper: Friends Around the World,High,Yes,11,11,High,Good
Borderlands,High,Yes,41,26,Medium,Good
Jurassic Park III: Island Attack,Average,No,49,26,High,Good
Chaotic: Shadow Warriors,Average,Yes,27,39,High,Good
Ghostbusters: The Video Game,High,No,27,10,Medium,Good
GameBoy Wars,Average,Yes,41,36,Medium,Good
Amplitude,High,No,36,15,High,Good
Alone in the Dark,Average,No,26,18,Medium,Good
Company of Heroes: Anthology,Low,No,23,27,High,Bad
Shape Up,High,No,11,38,Medium,Bad
Gauntlet: Seven Sorrows,High,No,44,13,High,Good
AirForce Delta Storm,High,No,24,15,High,Good
Trauma Team,High,Yes,30,13,Medium,Good
Monopoly Party,High,Yes,34,36,Low,Good
Fear Effect 2: Retro Helix,High,Yes,19,32,Medium,Good
How to Train Your Dragon,Average,No,13,22,Low,Bad
Remember Me,Average,No,36,10,High,Good
International Superstar Soccer 2000 (JP weekly sales),High,Yes,14,17,Low,Good
Chocobo no Fushigi Dungeon for WonderSwan,Average,Yes,14,10,Medium,Bad
Klonoa: Door to Phantomile,High,Yes,38,35,Low,Good
Vietcong: Purple Haze,High,Yes,15,30,Medium,Good
Hitman: HD Trilogy,High,No,34,35,Low,Good
Atari Anniversary Advance,High,No,49,17,High,Good
Summer Athletics: The Ultimate Challenge,Low,Yes,44,18,Medium,Bad
Driver: San Francisco,Low,No,19,28,Medium,Bad
Metal Gear Ac!d 2,Average,No,32,23,High,Good
Hatsune Miku and Future Stars: Project Mirai,High,No,21,11,Medium,Good
Let's TAP,High,No,29,33,Medium,Good
X-Men Origins: Wolverine,Low,No,22,38,Medium,Bad
TalkMan (Japan),Average,No,37,38,Low,Good
Cabela's Adventure Camp,High,Yes,37,10,High,Good
LEGO Marvel's Avengers,Low,No,16,32,High,Bad
Bloody Roar: Primal Fury,Average,No,47,24,Medium,Good
Shrek SuperSlam,High,Yes,20,33,Low,Good
We Sing UK Hits,High,Yes,26,23,Low,Good
Mega Man Soccer,Average,Yes,40,39,Medium,Good
The Chronicles of Narnia: Prince Caspian,High,Yes,29,17,Medium,Good
ZhuZhu Puppies,High,Yes,35,33,High,Good
Rabbids Party Collection,High,Yes,27,29,Medium,Good
Trinity Universe,High,Yes,34,29,Low,Good
Jewel Match,High,Yes,26,36,Low,Good
FIFA Soccer 07,Low,No,48,34,High,Bad
Dungeon Travelers 2: The Royal Library & The Monster Seal,Average,Yes,38,38,Medium,Good
Dying Light,Low,No,39,33,High,Bad
Vampire Savior: The Lord of Vampire,High,No,30,28,Medium,Good
Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,High,Yes,50,11,Low,Good
Super Robot Taisen UX,High,No,10,35,High,Bad
Six Flags Fun Park,High,Yes,30,15,High,Good
Test Drive Off-Road Wide Open,Average,No,45,11,Medium,Good
Guilty Gear Xrd: Sign,Average,Yes,23,27,Low,Good
Pro Yaky? Spirits 2011,Average,No,32,26,Medium,Good
Ben 10 Ultimate Alien: Cosmic Destruction,High,No,47,24,Medium,Good
Dengeki Bunko Fighting Climax,Average,Yes,25,21,Low,Good
Battle Commander: Hachibushu Shura no Heihou,Average,No,12,21,Low,Bad
Backbreaker,Low,Yes,47,15,High,Bad
Odin Sphere: Leifthrasir,High,Yes,26,11,High,Good
Bad Boys: Miami Takedown,Low,No,34,22,Medium,Bad
Jampack Vol. 1,Low,No,27,21,High,Bad
Spider-Man: Friend or Foe,High,Yes,44,35,Low,Good
Mega Man X: Command Mission,High,No,10,34,High,Bad
Tokyo Xtreme Racer DRIFT,Average,Yes,18,35,High,Bad
Moon,Low,No,50,23,High,Bad
FIFA Soccer 11,Average,No,20,36,Medium,Bad
LEGO Marvel Super Heroes,High,No,31,12,Medium,Good
Cabela's Big Game Hunter 2005 Adventures,Low,Yes,29,22,High,Bad
Disney Friends,High,No,42,14,Low,Good
Sesame Street: Elmo's Letter Adventure,High,Yes,38,18,Low,Good
Re-Volt,Average,No,31,36,Low,Good
Gokujou Parodius,High,Yes,17,22,Medium,Good
Hyperdimension Neptunia,High,No,49,27,Medium,Good
Gauntlet: Dark Legacy,High,No,13,22,High,Bad
A.C.E.: Another Century's Episode 2,Average,No,18,32,Low,Bad
Guitar Hero Live,High,Yes,39,17,Low,Good
Shadow The Hedgehog,High,Yes,14,16,Medium,Good
Ridge Racer Unbounded,High,Yes,27,14,High,Good
Burnout Legends,High,Yes,29,12,Medium,Good
Horrid Henry: Missions of Mischief,Average,Yes,29,18,Low,Good
Batman: Vengeance,High,Yes,37,38,High,Good
Full Auto 2: Battlelines,Low,Yes,38,23,Medium,Bad
Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou,High,Yes,19,32,Medium,Good
The Adventures of Cookie & Cream,High,Yes,21,18,Low,Good
Van Helsing,Low,Yes,36,13,Low,Bad
Aliens: Colonial Marines,Average,Yes,50,27,Medium,Good
Splatterhouse,High,Yes,44,19,Medium,Good
MindJack,High,No,38,26,High,Good
Dark Souls II,Low,Yes,43,23,Medium,Bad
Daigasso! Band Brothers P,Average,No,14,19,High,Bad
Gun,High,No,20,37,Low,Bad
World of Outlaws: Sprint Cars,High,Yes,24,40,Medium,Good
Marvel Super Hero Squad: Comic Combat,High,Yes,16,11,Low,Good
SingStar Motown,High,Yes,34,30,Low,Good
Cabela's Legendary Adventures,High,Yes,42,10,Medium,Good
F1 Challenge,Average,No,39,21,Medium,Good
Transformers: Dark of the Moon,High,Yes,29,14,High,Good
Shadow Madness,Average,Yes,27,30,Low,Good
Tom Clancy's Ghost Recon: Future Soldier,High,No,45,16,Low,Good
Tiger Woods PGA Tour 2004,Low,No,20,11,High,Bad
Aliens: Infestation,High,No,24,13,Medium,Good
Brink,High,Yes,28,36,Low,Good
The Game of Life / Yahtzee / Payday,Average,Yes,20,26,Medium,Bad
American Chopper 2: Full Throttle,Average,Yes,48,30,Medium,Good
Dynasty Warriors: Gundam 3,High,No,32,27,Low,Good
FIFA 16,High,Yes,44,40,High,Good
Silent Hill 4: The Room,High,Yes,19,16,Low,Good
Heavy Fire: Afghanistan,Average,Yes,11,31,Low,Bad
Commandos 2: Men of Courage,Low,Yes,35,37,High,Bad
Doom (2016),Average,Yes,26,13,High,Good
Chuck E. Cheese's Party Games,High,Yes,16,23,Medium,Good
Pro Evolution Soccer 2013,High,No,12,13,Medium,Bad
Pirates: Hunt For Blackbeard's Booty,Average,No,35,23,Low,Good
FIFA Soccer 2002,High,No,37,15,Medium,Good
Godzilla (2015),Average,No,10,19,Low,Bad
Race Pro,High,No,20,19,Medium,Bad
Atari Anniversary Edition Redux,High,No,49,15,High,Good
Toukiden: The Age of Demons,High,Yes,39,11,High,Good
Fireblade,High,Yes,16,19,Low,Good
Mercury Meltdown Revolution,Low,Yes,34,13,Low,Bad
Disney's Tarzan Untamed,High,Yes,36,37,High,Good
WordJong Party,Average,No,50,11,High,Good
Brunswick Circuit Pro Bowling,Low,No,27,21,High,Bad
Cabela's Dangerous Hunts 2009,Average,Yes,29,34,Low,Good
Velvet Assassin,Average,No,16,35,Medium,Bad
Ball Breakers,High,No,24,35,Low,Good
Mobile Suit Gundam Seed Destiny: Generation of C.E.,High,Yes,43,10,High,Good
EyeToy: Groove,Low,Yes,40,24,High,Bad
Twisted Metal: Small Brawl,Low,No,29,36,High,Bad
Disgaea 4: A Promise Unforgotten,High,Yes,19,11,Low,Good
Charlie and the Chocolate Factory,Low,Yes,45,29,Medium,Bad
Armored Core: Last Raven,High,Yes,13,28,Low,Good
Tomb Raider: Underworld,Average,No,17,26,Low,Bad
All Grown Up! Express Yourself,High,No,10,15,Low,Bad
College Hoops 2K7,Low,No,17,13,Low,Bad
K-1 World Grand Prix,High,Yes,14,36,Low,Good
Skate it,High,Yes,50,29,High,Good
Kidou Senshi Gundam: Senjou no Kizuna Portable,Average,Yes,31,35,High,Good
Otomedius Excellent,High,No,25,22,Medium,Good
Super Robot Taisen A Portable,High,Yes,37,29,High,Good
Juiced,High,Yes,38,20,High,Good
Looney Tunes: Back in Action,Low,No,45,24,High,Bad
Virtua Tennis,High,No,24,33,Medium,Good
Tales of the Tempest,Average,Yes,10,14,Low,Bad
SimCity Creator (JP sales),Average,No,33,24,Low,Good
Biohazard: Revival Selection,High,No,12,12,High,Bad
