Title,Rating,Popular,SalesPerWeek,Price,ReqSpec,Overall
Wii Sports,High,No,35,16,Medium,Good
Super Mario Bros.,High,No,27,31,Low,Good
Mario Kart Wii,High,Yes,27,23,Medium,Good
Wii Sports Resort,High,Yes,24,36,High,Good
Pokemon Red/Pokemon Blue,High,Yes,18,20,Medium,Good
Tetris,Average,Yes,25,37,Medium,Good
New Super Mario Bros.,High,No,12,29,High,Bad
Wii Play,Average,No,15,24,Low,Bad
New Super Mario Bros. Wii,High,Yes,38,32,Low,Good
Duck Hunt,Average,No,48,31,Medium,Good
Nintendogs,High,No,44,29,Medium,Good
Mario Kart DS,High,No,24,32,Low,Good
Pokemon Gold/Pokemon Silver,Average,Yes,46,18,Low,Good
Wii Fit,High,Yes,35,12,Medium,Good
Wii Fit Plus,Average,Yes,23,24,High,Good
Kinect Adventures!,Average,Yes,43,19,High,Good
Grand Theft Auto V,Average,No,13,29,Low,Bad
Grand Theft Auto: San Andreas,High,No,30,27,Medium,Good
Super Mario World,High,No,26,39,High,Good
Brain Age: Train Your Brain in Minutes a Day,High,No,28,26,Low,Good
Pokemon Diamond/Pokemon Pearl,High,No,21,10,Low,Good
Super Mario Land,High,No,33,10,Medium,Good
Super Mario Bros. 3,High,No,18,28,High,Bad
Grand Theft Auto V,Low,Yes,47,35,High,Bad
Grand Theft Auto: Vice City,Average,No,38,40,High,Good
Pokemon Ruby/Pokemon Sapphire,High,Yes,27,21,Medium,Good
Pokemon Black/Pokemon White,High,Yes,43,32,Low,Good
Brain Age 2: More Training in Minutes a Day,High,Yes,31,23,Medium,Good
Gran Turismo 3: A-Spec,High,No,15,18,Low,Bad
Call of Duty: Modern Warfare 3,High,Yes,39,35,High,Good
Pokémon Yellow: Special Pikachu Edition,Average,Yes,41,22,High,Good
Call of Duty: Black Ops,High,No,48,13,Medium,Good
Pokemon X/Pokemon Y,High,Yes,30,35,Low,Good
Call of Duty: Black Ops 3,High,No,23,21,High,Good
Call of Duty: Black Ops II,Average,Yes,48,21,Medium,Good
Call of Duty: Black Ops II,High,Yes,32,32,Low,Good
Call of Duty: Modern Warfare 2,High,No,48,15,Medium,Good
Call of Duty: Modern Warfare 3,Low,Yes,23,19,High,Bad
Grand Theft Auto III,Low,Yes,18,38,High,Bad
Super Smash Bros. Brawl,High,No,45,12,Medium,Good
Call of Duty: Black Ops,High,Yes,11,17,Low,Good
Animal Crossing: Wild World,Average,Yes,27,36,High,Good
Mario Kart 7,Low,No,26,33,High,Bad
Halo 3,High,No,41,35,Medium,Good
Grand Theft Auto V,High,Yes,47,29,High,Good
Pokemon HeartGold/Pokemon SoulSilver,High,No,30,34,Medium,Good
Super Mario 64,Average,No,37,26,Medium,Good
Gran Turismo 4,High,Yes,46,26,Medium,Good
