BranchId,BranchName,BranchRegion
1,Youspan,Alabama
2,Zooveo,Kansas
3,Zooxo,New York
4,Quinu,Pennsylvania
5,Feedspan,Oregon
6,Blogspan,District of Columbia
7,Youspan,Michigan
8,Skinte,Virginia
9,Podcat,Florida
10,Buzzster,Washington
11,Topicblab,Kansas
12,Fliptune,California
13,Miboo,Kentucky
14,Eadel,West Virginia
15,Jabberbean,Georgia
16,Roomm,Ohio
17,Quire,Connecticut
18,Skimia,Hawaii
19,Gabvine,Tennessee
20,Skalith,Minnesota
21,Yakidoo,North Carolina
22,Thoughtstorm,Indiana
23,Meeveo,California
24,Gabvine,Alabama
25,Janyx,Minnesota
