GameId,GameName,PlatformId,ReleaseYear,GenreId,GamePublisher
1,Wii Sports,1,2006.0,1,Nintendo
2,Super Mario Bros.,2,1985.0,2,Nintendo
3,Mario Kart Wii,1,2008.0,3,Nintendo
4,Wii Sports Resort,1,2009.0,1,Nintendo
5,Pokemon Red/Pokemon Blue,3,1996.0,4,Nintendo
6,Tetris,3,1989.0,5,Nintendo
7,New Super Mario Bros.,4,2006.0,2,Nintendo
8,Wii Play,1,2006.0,6,Nintendo
9,New Super Mario Bros. Wii,1,2009.0,2,Nintendo
10,Duck Hunt,2,1984.0,7,Nintendo
11,Nintendogs,4,2005.0,8,Nintendo
12,Mario Kart DS,4,2005.0,3,Nintendo
13,Pokemon Gold/Pokemon Silver,3,1999.0,4,Nintendo
14,Wii Fit,1,2007.0,1,Nintendo
15,Wii Fit Plus,1,2009.0,1,Nintendo
16,Kinect Adventures!,5,2010.0,6,Microsoft Game Studios
17,Grand Theft Auto V,6,2013.0,9,Take-Two Interactive
18,Grand Theft Auto: San Andreas,7,2004.0,9,Take-Two Interactive
19,Super Mario World,8,1990.0,2,Nintendo
20,Brain Age: Train Your Brain in Minutes a Day,4,2005.0,6,Nintendo
21,Pokemon Diamond/Pokemon Pearl,4,2006.0,4,Nintendo
22,Super Mario Land,3,1989.0,2,Nintendo
23,Super Mario Bros. 3,2,1988.0,2,Nintendo
24,Grand Theft Auto V,5,2013.0,9,Take-Two Interactive
25,Grand Theft Auto: Vice City,7,2002.0,9,Take-Two Interactive
26,Pokemon Ruby/Pokemon Sapphire,9,2002.0,4,Nintendo
27,Pokemon Black/Pokemon White,4,2010.0,4,Nintendo
28,Brain Age 2: More Training in Minutes a Day,4,2005.0,5,Nintendo
29,Gran Turismo 3: A-Spec,7,2001.0,3,Sony Computer Entertainment
30,Call of Duty: Modern Warfare 3,5,2011.0,7,Activision
31,Pokémon Yellow: Special Pikachu Edition,3,1998.0,4,Nintendo
32,Call of Duty: Black Ops,5,2010.0,7,Activision
33,Pokemon X/Pokemon Y,10,2013.0,4,Nintendo
34,Call of Duty: Black Ops 3,11,2015.0,7,Activision
35,Call of Duty: Black Ops II,6,2012.0,7,Activision
36,Call of Duty: Black Ops II,5,2012.0,7,Activision
37,Call of Duty: Modern Warfare 2,5,2009.0,7,Activision
38,Call of Duty: Modern Warfare 3,6,2011.0,7,Activision
39,Grand Theft Auto III,7,2001.0,9,Take-Two Interactive
40,Super Smash Bros. Brawl,1,2008.0,10,Nintendo
41,Call of Duty: Black Ops,6,2010.0,7,Activision
42,Animal Crossing: Wild World,4,2005.0,8,Nintendo
43,Mario Kart 7,10,2011.0,3,Nintendo
44,Halo 3,5,2007.0,7,Microsoft Game Studios
45,Grand Theft Auto V,11,2014.0,9,Take-Two Interactive
46,Pokemon HeartGold/Pokemon SoulSilver,4,2009.0,9,Nintendo
47,Super Mario 64,12,1996.0,2,Nintendo
48,Gran Turismo 4,7,2004.0,3,Sony Computer Entertainment
49,Super Mario Galaxy,1,2007.0,2,Nintendo
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,10,2014.0,4,Nintendo
51,Super Mario Land 2: 6 Golden Coins,3,1992.0,11,Nintendo
52,Grand Theft Auto IV,5,2008.0,9,Take-Two Interactive
53,Gran Turismo,13,1997.0,3,Sony Computer Entertainment
54,Super Mario 3D Land,10,2011.0,2,Nintendo
55,Gran Turismo 5,6,2010.0,3,Sony Computer Entertainment
56,Call of Duty: Modern Warfare 2,6,2009.0,7,Activision
57,Grand Theft Auto IV,6,2008.0,9,Take-Two Interactive
58,Super Mario All-Stars,8,1993.0,2,Nintendo
59,Pokemon FireRed/Pokemon LeafGreen,9,2004.0,4,Nintendo
60,Super Mario 64,4,2004.0,2,Nintendo
61,Just Dance 3,1,2011.0,6,Ubisoft
62,Call of Duty: Ghosts,5,2013.0,7,Activision
63,Halo: Reach,5,2010.0,7,Microsoft Game Studios
64,Mario Kart 64,12,1996.0,3,Nintendo
65,New Super Mario Bros. 2,10,2012.0,2,Nintendo
66,Halo 4,5,2012.0,7,Microsoft Game Studios
67,Final Fantasy VII,13,1997.0,4,Sony Computer Entertainment
68,Call of Duty: Ghosts,6,2013.0,7,Activision
69,Just Dance 2,1,2010.0,6,Ubisoft
70,Gran Turismo 2,13,1999.0,3,Sony Computer Entertainment
71,Call of Duty 4: Modern Warfare,5,2007.0,7,Activision
72,Donkey Kong Country,8,1994.0,2,Nintendo
73,Minecraft,5,2013.0,6,Microsoft Game Studios
74,Animal Crossing: New Leaf,10,2012.0,8,Nintendo
75,Mario Party DS,4,2007.0,6,Nintendo
76,The Elder Scrolls V: Skyrim,5,2011.0,4,Bethesda Softworks
77,Super Mario Kart,8,1992.0,3,Nintendo
78,FIFA 16,11,2015.0,1,Electronic Arts
79,Wii Party,1,2010.0,6,Nintendo
80,Halo 2,14,2004.0,7,Microsoft Game Studios
81,Mario Party 8,1,2007.0,6,Nintendo
82,Pokemon Black 2/Pokemon White 2,4,2012.0,4,Nintendo
83,FIFA Soccer 13,6,2012.0,9,Electronic Arts
84,The Sims 3,15,2009.0,8,Electronic Arts
85,GoldenEye 007,12,1997.0,7,Nintendo
86,Mario & Sonic at the Olympic Games,1,2007.0,1,Sega
87,Final Fantasy X,7,2001.0,4,Sony Computer Entertainment
88,Final Fantasy VIII,13,1999.0,4,SquareSoft
89,Pokémon Platinum Version,4,2008.0,4,Nintendo
90,Pac-Man,16,1982.0,5,Atari
91,Grand Theft Auto: Liberty City Stories,17,2005.0,9,Take-Two Interactive
92,Super Mario Galaxy 2,1,2010.0,2,Nintendo
93,Star Wars Battlefront (2015),11,2015.0,7,Electronic Arts
94,Call of Duty: Advanced Warfare,11,2014.0,7,Activision
95,The Legend of Zelda: Ocarina of Time,12,1998.0,9,Nintendo
96,Crash Bandicoot 2: Cortex Strikes Back,13,1997.0,2,Sony Computer Entertainment
97,Super Mario Bros. 2,2,1988.0,2,Nintendo
98,Super Smash Bros. for Wii U and 3DS,10,2014.0,10,Nintendo
99,Call of Duty: World at War,5,2008.0,7,Activision
100,Battlefield 3,5,2011.0,7,Electronic Arts
101,The Legend of Zelda: Twilight Princess,1,2006.0,9,Nintendo
102,Call of Duty: Black Ops 3,18,2015.0,7,Activision
103,Just Dance,1,2009.0,6,Ubisoft
104,Battlefield 3,6,2011.0,7,Electronic Arts
105,Need for Speed Underground,7,2003.0,3,Electronic Arts
106,Tekken 3,13,1998.0,10,Sony Computer Entertainment
107,Crash Bandicoot 3: Warped,13,1998.0,2,Sony Computer Entertainment
108,Super Smash Bros. Melee,19,2001.0,10,Nintendo
109,Mario Kart 8,20,2014.0,3,Nintendo
110,Fallout 4,11,2015.0,4,Bethesda Softworks
111,Mario Kart: Double Dash!!,19,2003.0,3,Nintendo
112,Just Dance 4,1,2012.0,6,Ubisoft
113,FIFA 14,6,2013.0,1,Electronic Arts
114,Need for Speed Underground 2,7,2004.0,3,Electronic Arts
115,Medal of Honor: Frontline,7,2002.0,7,Electronic Arts
116,Uncharted 3: Drake's Deception,6,2011.0,9,Sony Computer Entertainment
117,Crash Bandicoot,13,1996.0,2,Sony Computer Entertainment
118,Zumba Fitness,1,2010.0,1,505 Games
119,Gears of War 2,5,2008.0,7,Microsoft Game Studios
120,Uncharted 2: Among Thieves,6,2009.0,9,Sony Computer Entertainment
121,Call of Duty 4: Modern Warfare,6,2007.0,7,Activision
122,FIFA 12,6,2011.0,1,Electronic Arts
123,Big Brain Academy,4,2005.0,6,Nintendo
124,Red Dead Redemption,6,2010.0,9,Take-Two Interactive
125,FIFA 15,11,2014.0,1,Electronic Arts
126,Donkey Kong Country Returns,1,2010.0,2,Nintendo
127,The Elder Scrolls V: Skyrim,6,2011.0,4,Bethesda Softworks
128,The Legend of Zelda,2,1986.0,9,Nintendo
129,Assassin's Creed III,6,2012.0,9,Ubisoft
