TransactionId,PlayerId,NPCId,TransactionDate
1,359,3,2019-06-14
2,158,2,2019-10-18
3,272,1,2019-03-21
4,771,5,2019-07-26
5,322,4,2019-02-08
6,329,12,2019-12-10
7,53,17,2019-01-14
8,56,15,2019-12-26
9,642,4,2019-08-11
10,549,17,2019-07-07
11,969,8,2019-05-25
12,643,18,2019-04-11
13,992,19,2019-08-25
14,276,20,2019-06-24
15,903,17,2019-07-16
16,210,16,2019-08-28
17,363,14,2019-07-11
18,440,13,2019-08-29
19,799,11,2019-03-08
20,89,12,2019-07-08
21,162,15,2019-12-01
22,402,6,2019-10-26
23,564,10,2019-04-19
24,243,9,2019-10-09
25,795,6,2019-02-05
26,949,8,2019-12-20
27,977,9,2019-07-17
28,786,7,2019-08-17
29,218,4,2019-02-05
30,145,2,2019-10-29
31,44,3,2019-10-29
32,721,5,2019-02-12
33,589,6,2019-04-13
34,757,4,2019-05-26
35,416,2,2019-11-05
36,242,1,2019-02-13
37,209,6,2019-01-24
38,887,4,2019-11-23
39,792,3,2019-07-06
40,10,4,2019-03-01
41,594,6,2019-01-24
42,762,8,2019-01-19
43,694,2,2019-10-04
44,123,3,2019-10-23
45,748,1,2019-06-07
46,171,6,2019-01-26
47,806,4,2019-12-17
48,702,2,2019-02-14
49,600,6,2019-12-07
50,58,8,2019-07-19
51,346,9,2019-05-02
52,506,10,2019-11-20
53,175,1,2019-04-16
54,737,12,2019-05-16
55,449,15,2019-01-05
56,977,16,2019-10-06
57,825,7,2019-08-03
58,338,9,2019-09-25
59,985,1,2019-03-10
60,499,12,2019-02-25
61,921,14,2019-02-22
62,797,15,2019-06-02
63,158,17,2019-05-13
64,371,20,2019-01-25
65,588,3,2019-03-23
66,221,5,2019-02-15
67,269,6,2019-07-14
68,155,2,2019-04-04
69,9,3,2019-09-04
70,609,5,2019-04-14
71,98,13,2019-06-15
72,976,16,2019-06-18
73,425,14,2019-10-03
74,795,17,2019-02-02
75,246,6,2019-01-19
76,18,7,2019-12-28
77,809,12,2019-08-21
78,75,15,2019-03-13
79,354,18,2019-12-13
80,686,15,2019-06-13
81,404,8,2019-11-11
82,497,7,2019-02-07
83,931,4,2019-07-30
84,127,6,2019-06-30
85,52,2,2019-06-25
86,992,1,2019-06-11
87,79,4,2019-01-16
88,288,5,2019-10-27
89,387,6,2019-03-26
90,642,7,2019-10-02
91,257,9,2019-09-26
92,256,5,2019-01-27
93,480,6,2019-08-22
94,304,1,2019-12-20
95,818,4,2019-01-23
96,800,5,2019-04-25
97,973,7,2019-04-18
98,923,8,2019-06-06
99,905,9,2019-10-15
100,58,12,2019-08-06
